id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;20;;;;mass;;;;;;;;;;;;;;
2;20;;;;energy;;;;;;;;;;;;;;
3;20;;;;radioactivity;;;;;;;;;;;;;;
4;20;;;;duration;;;;;;;;;;;;;;
5;20;;;;volume;;;;;;;;;;;;;;
6;20;;;;transport distance;;;;;;;;;;;;;;
7;20;;;;monetary value (basic prices);;;;;;;;;;;;;;
8;20;;;;reserved;;;;;;;;;;;;;;
9;20;;;;reserved;;;;;;;;;;;;;;
10;20;;;;reserved;;;;;;;;;;;;;;
11;20;;;;reserved;;;;;;;;;;;;;;
12;20;;;;reserved;;;;;;;;;;;;;;
13;20;;;;reserved;;;;;;;;;;;;;;
14;20;;;;reserved;;;;;;;;;;;;;;
15;20;;;;reserved;;;;;;;;;;;;;;
16;20;;;;reserved;;;;;;;;;;;;;;
17;20;;;;reserved;;;;;;;;;;;;;;
18;20;;;;reserved;;;;;;;;;;;;;;
19;20;;;;reserved;;;;;;;;;;;;;;
20;20;;;;reserved;;;;;;;;;;;;;;
21;20;;;;reserved;;;;;;;;;;;;;;
22;20;;;;reserved;;;;;;;;;;;;;;
23;20;;;;reserved;;;;;;;;;;;;;;
24;20;;;;reserved;;;;;;;;;;;;;;
25;20;;;;reserved;;;;;;;;;;;;;;
26;20;;;;reserved;;;;;;;;;;;;;;
27;20;;;;reserved;;;;;;;;;;;;;;
28;20;;;;reserved;;;;;;;;;;;;;;
29;20;;;;reserved;;;;;;;;;;;;;;
30;20;;;;reserved;;;;;;;;;;;;;;
31;20;;;;reserved;;;;;;;;;;;;;;
32;20;;;;reserved;;;;;;;;;;;;;;
33;20;;;;reserved;;;;;;;;;;;;;;
34;20;;;;reserved;;;;;;;;;;;;;;
35;20;;;;reserved;;;;;;;;;;;;;;
36;20;;;;reserved;;;;;;;;;;;;;;
37;20;;;;reserved;;;;;;;;;;;;;;
38;20;;;;reserved;;;;;;;;;;;;;;
39;20;;;;reserved;;;;;;;;;;;;;;
40;20;;;;reserved;;;;;;;;;;;;;;
41;20;;;;reserved;;;;;;;;;;;;;;
42;20;;;;reserved;;;;;;;;;;;;;;
43;20;;;;reserved;;;;;;;;;;;;;;
44;20;;;;reserved;;;;;;;;;;;;;;
45;20;;;;reserved;;;;;;;;;;;;;;
46;20;;;;reserved;;;;;;;;;;;;;;
47;20;;;;reserved;;;;;;;;;;;;;;
48;20;;;;reserved;;;;;;;;;;;;;;
49;20;;;;reserved;;;;;;;;;;;;;;
50;20;;;;reserved;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
