id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;19;;;;Reference product;;;;;;;;;;;;;;
2;19;;;;Produced waste;;;;;;;;;;;;;;
3;19;;;;Used products;;;;;;;;;;;;;;
4;19;;;;resource, biotic;;;;;;;;;;;;;;
5;19;;;;resource, fossil-;;;;;;;;;;;;;;
6;19;;;;resource, ground-;;;;;;;;;;;;;;
7;19;;;;resource, in air;;;;;;;;;;;;;;
8;19;;;;resource, in ground;;;;;;;;;;;;;;
9;19;;;;resource, in water;;;;;;;;;;;;;;
10;19;;;;resource, renewable;;;;;;;;;;;;;;
11;19;;;;resource, unspecified;;;;;;;;;;;;;;
12;19;;;;air, high population density;;;;;;;;;;;;;;
13;19;;;;air, low population density;;;;;;;;;;;;;;
14;19;;;;air, low population density, long-term;;;;;;;;;;;;;;
15;19;;;;final-waste-flow, unspecified;;;;;;;;;;;;;;
16;19;;;;soil, agricultural;;;;;;;;;;;;;;
17;19;;;;soil, industrial;;;;;;;;;;;;;;
18;19;;;;soil, unspecified;;;;;;;;;;;;;;
19;19;;;;water, ground-;;;;;;;;;;;;;;
20;19;;;;water, ground-, long-term;;;;;;;;;;;;;;
21;19;;;;water, ocean;;;;;;;;;;;;;;
22;19;;;;water, river;;;;;;;;;;;;;;
23;19;;;;water, unspecified;;;;;;;;;;;;;;
24;19;;;;reserved;;;;;;;;;;;;;;
25;19;;;;reserved;;;;;;;;;;;;;;
26;19;;;;reserved;;;;;;;;;;;;;;
27;19;;;;reserved;;;;;;;;;;;;;;
28;19;;;;reserved;;;;;;;;;;;;;;
29;19;;;;reserved;;;;;;;;;;;;;;
30;19;;;;reserved;;;;;;;;;;;;;;
31;19;;;;reserved;;;;;;;;;;;;;;
32;19;;;;reserved;;;;;;;;;;;;;;
33;19;;;;reserved;;;;;;;;;;;;;;
34;19;;;;reserved;;;;;;;;;;;;;;
35;19;;;;reserved;;;;;;;;;;;;;;
36;19;;;;reserved;;;;;;;;;;;;;;
37;19;;;;reserved;;;;;;;;;;;;;;
38;19;;;;reserved;;;;;;;;;;;;;;
39;19;;;;reserved;;;;;;;;;;;;;;
40;19;;;;reserved;;;;;;;;;;;;;;
41;19;;;;reserved;;;;;;;;;;;;;;
42;19;;;;reserved;;;;;;;;;;;;;;
43;19;;;;reserved;;;;;;;;;;;;;;
44;19;;;;reserved;;;;;;;;;;;;;;
45;19;;;;reserved;;;;;;;;;;;;;;
46;19;;;;reserved;;;;;;;;;;;;;;
47;19;;;;reserved;;;;;;;;;;;;;;
48;19;;;;reserved;;;;;;;;;;;;;;
49;19;;;;reserved;;;;;;;;;;;;;;
50;19;;;;reserved;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
