id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;17;;;;1,1,1,3,3-Pentafluoropropane, HFC-245fa;;;;;;;;;;;;;;
2;17;;;;1,2-dichloropropane;;;;;;;;;;;;;;
3;17;;;;2-Propanol;;;;;;;;;;;;;;
4;17;;;;AOX, Adsorbable Organic Halogen as Cl;;;;;;;;;;;;;;
5;17;;;;Acenaphthene;;;;;;;;;;;;;;
6;17;;;;Acenaphthylene;;;;;;;;;;;;;;
7;17;;;;Acetaldehyde;;;;;;;;;;;;;;
8;17;;;;Acetic acid;;;;;;;;;;;;;;
9;17;;;;Acetone;;;;;;;;;;;;;;
10;17;;;;Acidity, unspecified;;;;;;;;;;;;;;
11;17;;;;Acrolein;;;;;;;;;;;;;;
12;17;;;;Acrylonitrile;;;;;;;;;;;;;;
13;17;;;;Aerosols, radioactive, unspecified;;;;;;;;;;;;;;
14;17;;;;Aldehydes, unspecified;;;;;;;;;;;;;;
15;17;;;;Aluminium;;;;;;;;;;;;;;
16;17;;;;Aluminum, cold rolling, at plant;;;;;;;;;;;;;;
17;17;;;;Aluminum, fume or dust;;;;;;;;;;;;;;
18;17;;;;Aluminum, ion;;;;;;;;;;;;;;
19;17;;;;Americium-241;;;;;;;;;;;;;;
20;17;;;;Ammonia;;;;;;;;;;;;;;
21;17;;;;Ammonia ;;;;;;;;;;;;;;
22;17;;;;Ammonium;;;;;;;;;;;;;;
23;17;;;;Ammonium ion;;;;;;;;;;;;;;
24;17;;;;Ammonium nitrate;;;;;;;;;;;;;;
25;17;;;;Ammonium, ion;;;;;;;;;;;;;;
26;17;;;;Anthracene;;;;;;;;;;;;;;
27;17;;;;Antimony;;;;;;;;;;;;;;
28;17;;;;Antimony-124;;;;;;;;;;;;;;
29;17;;;;Antimony-125;;;;;;;;;;;;;;
30;17;;;;Argon;;;;;;;;;;;;;;
31;17;;;;Argon-41;;;;;;;;;;;;;;
32;17;;;;Aromatic hydrocarbons, unspecified;;;;;;;;;;;;;;
33;17;;;;Aromatics, unspecified;;;;;;;;;;;;;;
34;17;;;;Arsenic;;;;;;;;;;;;;;
35;17;;;;Arsenic trioxide;;;;;;;;;;;;;;
36;17;;;;Arsenic, ion;;;;;;;;;;;;;;
37;17;;;;Arsine;;;;;;;;;;;;;;
38;17;;;;BOD5, Biological Oxygen Demand;;;;;;;;;;;;;;
39;17;;;;Baghouse lime;;;;;;;;;;;;;;
40;17;;;;Barite;;;;;;;;;;;;;;
41;17;;;;Barium;;;;;;;;;;;;;;
42;17;;;;Benzene;;;;;;;;;;;;;;
43;17;;;;Benzene, ethyl-;;;;;;;;;;;;;;
44;17;;;;Benzo(a)anthracene;;;;;;;;;;;;;;
45;17;;;;Benzo(a)pyrene;;;;;;;;;;;;;;
46;17;;;;Benzo(ghi)perylene;;;;;;;;;;;;;;
47;17;;;;Benzofluoranthene, unspecified;;;;;;;;;;;;;;
48;17;;;;Beryllium;;;;;;;;;;;;;;
49;17;;;;Boron;;;;;;;;;;;;;;
50;17;;;;Bromate;;;;;;;;;;;;;;
51;17;;;;Bromide;;;;;;;;;;;;;;
52;17;;;;Bromine;;;;;;;;;;;;;;
