id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;21;;;;unspecified;;;;;;;;;;;;;;
2;21;;;;Aluminium cold rolling;;;;;;;;;;;;;;
3;21;;;;production of liquid steel;;;;;;;;;;;;;;
4;21;;;;Chainsawing, delimbing;;;;;;;;;;;;;;
5;21;;;;Electricity, lignite coal, production;;;;;;;;;;;;;;
6;21;;;;Limestone mining;;;;;;;;;;;;;;
7;21;;;;reserved;;;;;;;;;;;;;;
8;21;;;;reserved;;;;;;;;;;;;;;
9;21;;;;reserved;;;;;;;;;;;;;;
10;21;;;;reserved;;;;;;;;;;;;;;
11;21;;;;reserved;;;;;;;;;;;;;;
12;21;;;;reserved;;;;;;;;;;;;;;
13;21;;;;reserved;;;;;;;;;;;;;;
14;21;;;;reserved;;;;;;;;;;;;;;
15;21;;;;reserved;;;;;;;;;;;;;;
16;21;;;;reserved;;;;;;;;;;;;;;
17;21;;;;reserved;;;;;;;;;;;;;;
18;21;;;;reserved;;;;;;;;;;;;;;
19;21;;;;reserved;;;;;;;;;;;;;;
20;21;;;;reserved;;;;;;;;;;;;;;
21;21;;;;reserved;;;;;;;;;;;;;;
22;21;;;;reserved;;;;;;;;;;;;;;
23;21;;;;reserved;;;;;;;;;;;;;;
24;21;;;;reserved;;;;;;;;;;;;;;
25;21;;;;reserved;;;;;;;;;;;;;;
26;21;;;;reserved;;;;;;;;;;;;;;
27;21;;;;reserved;;;;;;;;;;;;;;
28;21;;;;reserved;;;;;;;;;;;;;;
29;21;;;;reserved;;;;;;;;;;;;;;
30;21;;;;reserved;;;;;;;;;;;;;;
31;21;;;;reserved;;;;;;;;;;;;;;
32;21;;;;reserved;;;;;;;;;;;;;;
33;21;;;;reserved;;;;;;;;;;;;;;
34;21;;;;reserved;;;;;;;;;;;;;;
35;21;;;;reserved;;;;;;;;;;;;;;
36;21;;;;reserved;;;;;;;;;;;;;;
37;21;;;;reserved;;;;;;;;;;;;;;
38;21;;;;reserved;;;;;;;;;;;;;;
39;21;;;;reserved;;;;;;;;;;;;;;
40;21;;;;reserved;;;;;;;;;;;;;;
41;21;;;;reserved;;;;;;;;;;;;;;
42;21;;;;reserved;;;;;;;;;;;;;;
43;21;;;;reserved;;;;;;;;;;;;;;
44;21;;;;reserved;;;;;;;;;;;;;;
45;21;;;;reserved;;;;;;;;;;;;;;
46;21;;;;reserved;;;;;;;;;;;;;;
47;21;;;;reserved;;;;;;;;;;;;;;
48;21;;;;reserved;;;;;;;;;;;;;;
49;21;;;;reserved;;;;;;;;;;;;;;
50;21;;;;reserved;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
