id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;6;;;;all (entire economy);;;;;;;;;;;;;;
2;6;;;;mining and refining;;;;;;;;;;;;;;
3;6;;;;material production;;;;;;;;;;;;;;
4;6;;;;manufacturing;;;;;;;;;;;;;;
5;6;;;;use phase;;;;;;;;;;;;;;
6;6;;;;waste management;;;;;;;;;;;;;;
7;6;;;;energy supply;;;;;;;;;;;;;;
8;6;;;;BOF;;;;;;;;;;;;;;
9;6;;;;EAF;;;;;;;;;;;;;;
10;6;;;;forming;;;;;;;;;;;;;;
11;6;;;;foundries;;;;;;;;;;;;;;
12;6;;;;liquid metal cross section;;;;;;;;;;;;;;
13;6;;;;material extraction;;;;;;;;;;;;;;
14;6;;;;technosphere;;;;;;;;;;;;;;
15;6;;;;scrap market;;;;;;;;;;;;;;
16;6;;;;reserved;;;;;;;;;;;;;;
17;6;;;;reserved;;;;;;;;;;;;;;
18;6;;;;reserved;;;;;;;;;;;;;;
19;6;;;;reserved;;;;;;;;;;;;;;
20;6;;;;reserved;;;;;;;;;;;;;;
21;6;;;;reserved;;;;;;;;;;;;;;
22;6;;;;reserved;;;;;;;;;;;;;;
23;6;;;;reserved;;;;;;;;;;;;;;
24;6;;;;reserved;;;;;;;;;;;;;;
25;6;;;;reserved;;;;;;;;;;;;;;
26;6;;;;reserved;;;;;;;;;;;;;;
27;6;;;;reserved;;;;;;;;;;;;;;
28;6;;;;reserved;;;;;;;;;;;;;;
29;6;;;;reserved;;;;;;;;;;;;;;
30;6;;;;reserved;;;;;;;;;;;;;;
31;6;;;;reserved;;;;;;;;;;;;;;
32;6;;;;reserved;;;;;;;;;;;;;;
33;6;;;;reserved;;;;;;;;;;;;;;
34;6;;;;reserved;;;;;;;;;;;;;;
35;6;;;;reserved;;;;;;;;;;;;;;
36;6;;;;reserved;;;;;;;;;;;;;;
37;6;;;;reserved;;;;;;;;;;;;;;
38;6;;;;reserved;;;;;;;;;;;;;;
39;6;;;;reserved;;;;;;;;;;;;;;
40;6;;;;reserved;;;;;;;;;;;;;;
41;6;;;;reserved;;;;;;;;;;;;;;
42;6;;;;reserved;;;;;;;;;;;;;;
43;6;;;;reserved;;;;;;;;;;;;;;
44;6;;;;reserved;;;;;;;;;;;;;;
45;6;;;;reserved;;;;;;;;;;;;;;
46;6;;;;reserved;;;;;;;;;;;;;;
47;6;;;;reserved;;;;;;;;;;;;;;
48;6;;;;reserved;;;;;;;;;;;;;;
49;6;;;;reserved;;;;;;;;;;;;;;
50;6;;;;reserved;;;;;;;;;;;;;;
51;6;;;;reserved;;;;;;;;;;;;;;
52;6;;;;reserved;;;;;;;;;;;;;;
53;6;;;;reserved;;;;;;;;;;;;;;
54;6;;;;reserved;;;;;;;;;;;;;;
55;6;;;;reserved;;;;;;;;;;;;;;
56;6;;;;reserved;;;;;;;;;;;;;;
57;6;;;;reserved;;;;;;;;;;;;;;
58;6;;;;reserved;;;;;;;;;;;;;;
59;6;;;;reserved;;;;;;;;;;;;;;
60;6;;;;reserved;;;;;;;;;;;;;;
61;6;;;;reserved;;;;;;;;;;;;;;
62;6;;;;reserved;;;;;;;;;;;;;;
63;6;;;;reserved;;;;;;;;;;;;;;
64;6;;;;reserved;;;;;;;;;;;;;;
65;6;;;;reserved;;;;;;;;;;;;;;
66;6;;;;reserved;;;;;;;;;;;;;;
67;6;;;;reserved;;;;;;;;;;;;;;
68;6;;;;reserved;;;;;;;;;;;;;;
69;6;;;;reserved;;;;;;;;;;;;;;
70;6;;;;reserved;;;;;;;;;;;;;;
71;6;;;;reserved;;;;;;;;;;;;;;
72;6;;;;reserved;;;;;;;;;;;;;;
73;6;;;;reserved;;;;;;;;;;;;;;
74;6;;;;reserved;;;;;;;;;;;;;;
75;6;;;;reserved;;;;;;;;;;;;;;
76;6;;;;reserved;;;;;;;;;;;;;;
77;6;;;;reserved;;;;;;;;;;;;;;
78;6;;;;reserved;;;;;;;;;;;;;;
79;6;;;;reserved;;;;;;;;;;;;;;
80;6;;;;reserved;;;;;;;;;;;;;;
81;6;;;;reserved;;;;;;;;;;;;;;
82;6;;;;reserved;;;;;;;;;;;;;;
83;6;;;;reserved;;;;;;;;;;;;;;
84;6;;;;reserved;;;;;;;;;;;;;;
85;6;;;;reserved;;;;;;;;;;;;;;
86;6;;;;reserved;;;;;;;;;;;;;;
87;6;;;;reserved;;;;;;;;;;;;;;
88;6;;;;reserved;;;;;;;;;;;;;;
89;6;;;;reserved;;;;;;;;;;;;;;
90;6;;;;reserved;;;;;;;;;;;;;;
91;6;;;;reserved;;;;;;;;;;;;;;
92;6;;;;reserved;;;;;;;;;;;;;;
93;6;;;;reserved;;;;;;;;;;;;;;
94;6;;;;reserved;;;;;;;;;;;;;;
95;6;;;;reserved;;;;;;;;;;;;;;
96;6;;;;reserved;;;;;;;;;;;;;;
97;6;;;;reserved;;;;;;;;;;;;;;
98;6;;;;reserved;;;;;;;;;;;;;;
99;6;;;;reserved;;;;;;;;;;;;;;
100;6;;;;reserved;;;;;;;;;;;;;;
