id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;13;;;;multi-family houses;;;;;;;;;;;;;;
2;13;;;;multi-family house, concrete frame, reference building;;;;;;;;;;;;;;
3;13;;;;multi-family house, wooden frame, reference building;;;;;;;;;;;;;;
4;13;;;;multi-family house, concrete frame, current building code;;;;;;;;;;;;;;
5;13;;;;multi-family house, wooden frame, current building code;;;;;;;;;;;;;;
6;13;;;;multi-family house, concrete frame, passive standard;;;;;;;;;;;;;;
7;13;;;;multi-family house, wooden frame, passive standard;;;;;;;;;;;;;;
8;13;;;;buidlings;;;;;;;;;;;;;;
9;13;;;;buidlings and civil engineering;;;;;;;;;;;;;;
10;13;;;;multi-family houses, concrete structure;;;;;;;;;;;;;;
11;13;;;;multi-family houses, wooden frame;;;;;;;;;;;;;;
12;13;;;;single-family house;;;;;;;;;;;;;;
13;13;;;;hospital;;;;;;;;;;;;;;
14;13;;;;industrial production;;;;;;;;;;;;;;
15;13;;;;non-residential buildings;;;;;;;;;;;;;;
16;13;;;;residential buildings;;;;;;;;;;;;;;
17;13;;;;average building;;;;;;;;;;;;;;
18;13;;;;shearing-force structure dwellings;;;;;;;;;;;;;;
19;13;;;;brick concrete structure dwellings;;;;;;;;;;;;;;
20;13;;;;reserved;;;;;;;;;;;;;;
21;13;;;;reserved;;;;;;;;;;;;;;
22;13;;;;reserved;;;;;;;;;;;;;;
23;13;;;;reserved;;;;;;;;;;;;;;
24;13;;;;reserved;;;;;;;;;;;;;;
25;13;;;;reserved;;;;;;;;;;;;;;
26;13;;;;reserved;;;;;;;;;;;;;;
27;13;;;;reserved;;;;;;;;;;;;;;
28;13;;;;reserved;;;;;;;;;;;;;;
29;13;;;;reserved;;;;;;;;;;;;;;
30;13;;;;reserved;;;;;;;;;;;;;;
31;13;;;;reserved;;;;;;;;;;;;;;
32;13;;;;reserved;;;;;;;;;;;;;;
33;13;;;;reserved;;;;;;;;;;;;;;
34;13;;;;reserved;;;;;;;;;;;;;;
35;13;;;;reserved;;;;;;;;;;;;;;
36;13;;;;reserved;;;;;;;;;;;;;;
37;13;;;;reserved;;;;;;;;;;;;;;
38;13;;;;reserved;;;;;;;;;;;;;;
39;13;;;;reserved;;;;;;;;;;;;;;
40;13;;;;reserved;;;;;;;;;;;;;;
41;13;;;;reserved;;;;;;;;;;;;;;
42;13;;;;reserved;;;;;;;;;;;;;;
43;13;;;;reserved;;;;;;;;;;;;;;
44;13;;;;reserved;;;;;;;;;;;;;;
45;13;;;;reserved;;;;;;;;;;;;;;
46;13;;;;reserved;;;;;;;;;;;;;;
47;13;;;;reserved;;;;;;;;;;;;;;
48;13;;;;reserved;;;;;;;;;;;;;;
49;13;;;;reserved;;;;;;;;;;;;;;
50;13;;;;reserved;;;;;;;;;;;;;;
51;13;;;;reserved;;;;;;;;;;;;;;
52;13;;;;reserved;;;;;;;;;;;;;;
53;13;;;;reserved;;;;;;;;;;;;;;
54;13;;;;reserved;;;;;;;;;;;;;;
55;13;;;;reserved;;;;;;;;;;;;;;
56;13;;;;reserved;;;;;;;;;;;;;;
57;13;;;;reserved;;;;;;;;;;;;;;
58;13;;;;reserved;;;;;;;;;;;;;;
59;13;;;;reserved;;;;;;;;;;;;;;
60;13;;;;reserved;;;;;;;;;;;;;;
61;13;;;;reserved;;;;;;;;;;;;;;
62;13;;;;reserved;;;;;;;;;;;;;;
63;13;;;;reserved;;;;;;;;;;;;;;
64;13;;;;reserved;;;;;;;;;;;;;;
65;13;;;;reserved;;;;;;;;;;;;;;
66;13;;;;reserved;;;;;;;;;;;;;;
67;13;;;;reserved;;;;;;;;;;;;;;
68;13;;;;reserved;;;;;;;;;;;;;;
69;13;;;;reserved;;;;;;;;;;;;;;
70;13;;;;reserved;;;;;;;;;;;;;;
71;13;;;;reserved;;;;;;;;;;;;;;
72;13;;;;reserved;;;;;;;;;;;;;;
73;13;;;;reserved;;;;;;;;;;;;;;
74;13;;;;reserved;;;;;;;;;;;;;;
75;13;;;;reserved;;;;;;;;;;;;;;
76;13;;;;reserved;;;;;;;;;;;;;;
77;13;;;;reserved;;;;;;;;;;;;;;
78;13;;;;reserved;;;;;;;;;;;;;;
79;13;;;;reserved;;;;;;;;;;;;;;
80;13;;;;reserved;;;;;;;;;;;;;;
81;13;;;;reserved;;;;;;;;;;;;;;
82;13;;;;reserved;;;;;;;;;;;;;;
83;13;;;;reserved;;;;;;;;;;;;;;
84;13;;;;reserved;;;;;;;;;;;;;;
85;13;;;;reserved;;;;;;;;;;;;;;
86;13;;;;reserved;;;;;;;;;;;;;;
87;13;;;;reserved;;;;;;;;;;;;;;
88;13;;;;reserved;;;;;;;;;;;;;;
89;13;;;;reserved;;;;;;;;;;;;;;
90;13;;;;reserved;;;;;;;;;;;;;;
91;13;;;;reserved;;;;;;;;;;;;;;
92;13;;;;reserved;;;;;;;;;;;;;;
93;13;;;;reserved;;;;;;;;;;;;;;
94;13;;;;reserved;;;;;;;;;;;;;;
95;13;;;;reserved;;;;;;;;;;;;;;
96;13;;;;reserved;;;;;;;;;;;;;;
97;13;;;;reserved;;;;;;;;;;;;;;
98;13;;;;reserved;;;;;;;;;;;;;;
99;13;;;;reserved;;;;;;;;;;;;;;
100;13;;;;reserved;;;;;;;;;;;;;;
