id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;9;;;;ca. 1800;;;;;;;;;;;;;;
2;9;;;;ca. 1810;;;;;;;;;;;;;;
3;9;;;;ca. 1820;;;;;;;;;;;;;;
4;9;;;;ca. 1830;;;;;;;;;;;;;;
5;9;;;;ca. 1840;;;;;;;;;;;;;;
6;9;;;;ca. 1850;;;;;;;;;;;;;;
7;9;;;;ca. 1860;;;;;;;;;;;;;;
8;9;;;;ca. 1870;;;;;;;;;;;;;;
9;9;;;;ca. 1880;;;;;;;;;;;;;;
10;9;;;;ca. 1890;;;;;;;;;;;;;;
11;9;;;;ca. 1900;;;;;;;;;;;;;;
12;9;;;;ca. 1901;;;;;;;;;;;;;;
13;9;;;;ca. 1902;;;;;;;;;;;;;;
14;9;;;;ca. 1903;;;;;;;;;;;;;;
15;9;;;;ca. 1904;;;;;;;;;;;;;;
16;9;;;;ca. 1905;;;;;;;;;;;;;;
17;9;;;;ca. 1906;;;;;;;;;;;;;;
18;9;;;;ca. 1907;;;;;;;;;;;;;;
19;9;;;;ca. 1908;;;;;;;;;;;;;;
20;9;;;;ca. 1909;;;;;;;;;;;;;;
21;9;;;;ca. 1910;;;;;;;;;;;;;;
22;9;;;;ca. 1911;;;;;;;;;;;;;;
23;9;;;;ca. 1912;;;;;;;;;;;;;;
24;9;;;;ca. 1913;;;;;;;;;;;;;;
25;9;;;;ca. 1914;;;;;;;;;;;;;;
26;9;;;;ca. 1915;;;;;;;;;;;;;;
27;9;;;;ca. 1916;;;;;;;;;;;;;;
28;9;;;;ca. 1917;;;;;;;;;;;;;;
29;9;;;;ca. 1918;;;;;;;;;;;;;;
30;9;;;;ca. 1919;;;;;;;;;;;;;;
31;9;;;;ca. 1920;;;;;;;;;;;;;;
32;9;;;;ca. 1921;;;;;;;;;;;;;;
33;9;;;;ca. 1922;;;;;;;;;;;;;;
34;9;;;;ca. 1923;;;;;;;;;;;;;;
35;9;;;;ca. 1924;;;;;;;;;;;;;;
36;9;;;;ca. 1925;;;;;;;;;;;;;;
37;9;;;;ca. 1926;;;;;;;;;;;;;;
38;9;;;;ca. 1927;;;;;;;;;;;;;;
39;9;;;;ca. 1928;;;;;;;;;;;;;;
40;9;;;;ca. 1929;;;;;;;;;;;;;;
41;9;;;;ca. 1930;;;;;;;;;;;;;;
42;9;;;;ca. 1931;;;;;;;;;;;;;;
43;9;;;;ca. 1932;;;;;;;;;;;;;;
44;9;;;;ca. 1933;;;;;;;;;;;;;;
45;9;;;;ca. 1934;;;;;;;;;;;;;;
46;9;;;;ca. 1935;;;;;;;;;;;;;;
47;9;;;;ca. 1936;;;;;;;;;;;;;;
48;9;;;;ca. 1937;;;;;;;;;;;;;;
49;9;;;;ca. 1938;;;;;;;;;;;;;;
50;9;;;;ca. 1939;;;;;;;;;;;;;;
51;9;;;;ca. 1940;;;;;;;;;;;;;;
52;9;;;;ca. 1941;;;;;;;;;;;;;;
53;9;;;;ca. 1942;;;;;;;;;;;;;;
54;9;;;;ca. 1943;;;;;;;;;;;;;;
55;9;;;;ca. 1944;;;;;;;;;;;;;;
56;9;;;;ca. 1945;;;;;;;;;;;;;;
57;9;;;;ca. 1946;;;;;;;;;;;;;;
58;9;;;;ca. 1947;;;;;;;;;;;;;;
59;9;;;;ca. 1948;;;;;;;;;;;;;;
60;9;;;;ca. 1949;;;;;;;;;;;;;;
61;9;;;;ca. 1950;;;;;;;;;;;;;;
62;9;;;;ca. 1951;;;;;;;;;;;;;;
63;9;;;;ca. 1952;;;;;;;;;;;;;;
64;9;;;;ca. 1953;;;;;;;;;;;;;;
65;9;;;;ca. 1954;;;;;;;;;;;;;;
66;9;;;;ca. 1955;;;;;;;;;;;;;;
67;9;;;;ca. 1956;;;;;;;;;;;;;;
68;9;;;;ca. 1957;;;;;;;;;;;;;;
69;9;;;;ca. 1958;;;;;;;;;;;;;;
70;9;;;;ca. 1959;;;;;;;;;;;;;;
71;9;;;;ca. 1960;;;;;;;;;;;;;;
72;9;;;;ca. 1961;;;;;;;;;;;;;;
73;9;;;;ca. 1962;;;;;;;;;;;;;;
74;9;;;;ca. 1963;;;;;;;;;;;;;;
75;9;;;;ca. 1964;;;;;;;;;;;;;;
76;9;;;;ca. 1965;;;;;;;;;;;;;;
77;9;;;;ca. 1966;;;;;;;;;;;;;;
78;9;;;;ca. 1967;;;;;;;;;;;;;;
79;9;;;;ca. 1968;;;;;;;;;;;;;;
80;9;;;;ca. 1969;;;;;;;;;;;;;;
81;9;;;;ca. 1970;;;;;;;;;;;;;;
82;9;;;;ca. 1971;;;;;;;;;;;;;;
83;9;;;;ca. 1972;;;;;;;;;;;;;;
84;9;;;;ca. 1973;;;;;;;;;;;;;;
85;9;;;;ca. 1974;;;;;;;;;;;;;;
86;9;;;;ca. 1975;;;;;;;;;;;;;;
87;9;;;;ca. 1976;;;;;;;;;;;;;;
88;9;;;;ca. 1977;;;;;;;;;;;;;;
89;9;;;;ca. 1978;;;;;;;;;;;;;;
90;9;;;;ca. 1979;;;;;;;;;;;;;;
91;9;;;;ca. 1980;;;;;;;;;;;;;;
92;9;;;;ca. 1981;;;;;;;;;;;;;;
93;9;;;;ca. 1982;;;;;;;;;;;;;;
94;9;;;;ca. 1983;;;;;;;;;;;;;;
95;9;;;;ca. 1984;;;;;;;;;;;;;;
96;9;;;;ca. 1985;;;;;;;;;;;;;;
97;9;;;;ca. 1986;;;;;;;;;;;;;;
98;9;;;;ca. 1987;;;;;;;;;;;;;;
99;9;;;;ca. 1988;;;;;;;;;;;;;;
100;9;;;;ca. 1989;;;;;;;;;;;;;;
101;9;;;;ca. 1990;;;;;;;;;;;;;;
102;9;;;;ca. 1991;;;;;;;;;;;;;;
103;9;;;;ca. 1992;;;;;;;;;;;;;;
104;9;;;;ca. 1993;;;;;;;;;;;;;;
105;9;;;;ca. 1994;;;;;;;;;;;;;;
106;9;;;;ca. 1995;;;;;;;;;;;;;;
107;9;;;;ca. 1996;;;;;;;;;;;;;;
108;9;;;;ca. 1997;;;;;;;;;;;;;;
109;9;;;;ca. 1998;;;;;;;;;;;;;;
110;9;;;;ca. 1999;;;;;;;;;;;;;;
111;9;;;;ca. 2000;;;;;;;;;;;;;;
112;9;;;;ca. 2001;;;;;;;;;;;;;;
113;9;;;;ca. 2002;;;;;;;;;;;;;;
114;9;;;;ca. 2003;;;;;;;;;;;;;;
115;9;;;;ca. 2004;;;;;;;;;;;;;;
116;9;;;;ca. 2005;;;;;;;;;;;;;;
117;9;;;;ca. 2006;;;;;;;;;;;;;;
118;9;;;;ca. 2007;;;;;;;;;;;;;;
119;9;;;;ca. 2008;;;;;;;;;;;;;;
120;9;;;;ca. 2009;;;;;;;;;;;;;;
121;9;;;;ca. 2010;;;;;;;;;;;;;;
122;9;;;;ca. 2011;;;;;;;;;;;;;;
123;9;;;;ca. 2012;;;;;;;;;;;;;;
124;9;;;;ca. 2013;;;;;;;;;;;;;;
125;9;;;;ca. 2014;;;;;;;;;;;;;;
126;9;;;;ca. 2015;;;;;;;;;;;;;;
127;9;;;;ca. 2016;;;;;;;;;;;;;;
128;9;;;;ca. 2017;;;;;;;;;;;;;;
129;9;;;;ca. 2018;;;;;;;;;;;;;;
130;9;;;;ca. 2019;;;;;;;;;;;;;;
131;9;;;;ca. 2020;;;;;;;;;;;;;;
132;9;;;;ca. 2021;;;;;;;;;;;;;;
133;9;;;;ca. 2022;;;;;;;;;;;;;;
134;9;;;;ca. 2023;;;;;;;;;;;;;;
135;9;;;;ca. 2024;;;;;;;;;;;;;;
136;9;;;;ca. 2025;;;;;;;;;;;;;;
137;9;;;;ca. 2026;;;;;;;;;;;;;;
138;9;;;;ca. 2027;;;;;;;;;;;;;;
