id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;1;;;;hydrogen;1;H;Hydrogen;1.007940054;;;;;;;;;;
2;1;;;;helium;2;He;Helium;4.002600193;;;;;;;;;;
3;1;;;;lithium;3;Li;Lithium;6.940999985;;;;;;;;;;
4;1;;;;beryllium;4;Be;Beryllium;9.012180328;;;;;;;;;;
5;1;;;;boron;5;B;Boron;10.81099987;;;;;;;;;;
6;1;;;;carbon;6;C;Carbon;12.01070023;;;;;;;;;;
7;1;;;;nitrogen;7;N;Nitrogen;14.00669956;;;;;;;;;;
8;1;;;;oxygen;8;O;Oxygen;15.99940014;;;;;;;;;;
9;1;;;;fluorine;9;F;Fluorine;18.99839973;;;;;;;;;;
10;1;;;;neon;10;Ne;Neon;20.17970085;;;;;;;;;;
11;1;;;;sodium;11;Na;Sodium;22.9897995;;;;;;;;;;
12;1;;;;magnesium;12;Mg;Magnesium;24.30500031;;;;;;;;;;
13;1;;;;aluminium;13;Al;Aluminium;26.98150063;;;;;;;;;;
14;1;;;;silicon;14;Si;Silicon;28.08550072;;;;;;;;;;
15;1;;;;phosphorus;15;P;Phosphorus;30.97380066;;;;;;;;;;
16;1;;;;sulfur;16;S;Sulfur;32.06499863;;;;;;;;;;
17;1;;;;chlorine;17;Cl;Chlorine;35.45299911;;;;;;;;;;
18;1;;;;argon;18;Ar;Argon;39.94800186;;;;;;;;;;
19;1;;;;potassium;19;K;Potassium;39.09830093;;;;;;;;;;
20;1;;;;calcium;20;Ca;Calcium;40.07799911;;;;;;;;;;
21;1;;;;scandium;21;Sc;Scandium;44.95589828;;;;;;;;;;
22;1;;;;titanium;22;Ti;Titanium;47.86700058;;;;;;;;;;
23;1;;;;vanadium;23;V;Vanadium;50.94150162;;;;;;;;;;
24;1;;;;chromium;24;Cr;Chromium;51.99610138;;;;;;;;;;
25;1;;;;manganese;25;Mn;Manganese;54.93799973;;;;;;;;;;
26;1;;;;iron;26;Fe;Iron;55.84500122;;;;;;;;;;
27;1;;;;cobalt;27;Co;Cobalt;58.93320084;;;;;;;;;;
28;1;;;;nickel;28;Ni;Nickel;58.69340134;;;;;;;;;;
29;1;;;;copper;29;Cu;Copper;63.54600143;;;;;;;;;;
30;1;;;;zinc;30;Zn;Zinc;65.37999725;;;;;;;;;;
31;1;;;;gallium;31;Ga;Gallium;69.72299957;;;;;;;;;;
32;1;;;;germanium;32;Ge;Germanium;72.63999939;;;;;;;;;;
33;1;;;;arsenic;33;As;Arsenic;74.92160034;;;;;;;;;;
34;1;;;;selenium;34;Se;Selenium;78.95999908;;;;;;;;;;
35;1;;;;bromine;35;Br;Bromine;79.90399933;;;;;;;;;;
36;1;;;;krypton;36;Kr;Krypton;83.79799652;;;;;;;;;;
37;1;;;;rubidium;37;Rb;Rubidium;85.46779633;;;;;;;;;;
38;1;;;;strontium;38;Sr;Strontium;87.62000275;;;;;;;;;;
39;1;;;;yttrium;39;Y;Yttrium;88.90589905;;;;;;;;;;
40;1;;;;zirconium;40;Zr;Zirconium;91.22399902;;;;;;;;;;
41;1;;;;niobium;41;Nb;Niobium;92.90640259;;;;;;;;;;
42;1;;;;molybdenum;42;Mo;Molybdenum;95.95999908;;;;;;;;;;
43;1;;;;technetium;43;Tc;Technetium;98.90630341;;;;;;;;;;
44;1;;;;ruthenium;44;Ru;Ruthenium;101.0699997;;;;;;;;;;
