id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;7;;;;residential building;;;;;;;;;;;;;;
2;7;;;;nonresidential building;;;;;;;;;;;;;;
3;7;;;;residential building, urban;;;;;;;;;;;;;;
4;7;;;;nonresidential building, urban;;;;;;;;;;;;;;
5;7;;;;residential building, rural;;;;;;;;;;;;;;
6;7;;;;nonresidential building, rural;;;;;;;;;;;;;;
7;7;;;;residential building, urban, simple;;;;;;;;;;;;;;
8;7;;;;residential building, urban, medium;;;;;;;;;;;;;;
9;7;;;;residential building, urban, luxurious;;;;;;;;;;;;;;
10;7;;;;passenger vehicles;;;;;;;;;;;;;;
11;7;;;;commercial vehicles;;;;;;;;;;;;;;
12;7;;;;service buildings;;;;;;;;;;;;;;
13;7;;;;buildings;;;;;;;;;;;;;;
14;7;;;;passenger vehicle, internal combustion engine;;;;;;;;;;;;;;
15;7;;;;passenger vehicle: battery electric vehicle;;;;;;;;;;;;;;
16;7;;;;passenger vehicle: fuel cell vehicle;;;;;;;;;;;;;;
17;7;;;;passenger vehicle, internal combustion engine, C-segment, average size;;;;;;;;;;;;;;
18;7;;;;buildings - construction - infrastructure;;;;;;;;;;;;;;
19;7;;;;vehicles and other transport equipment;;;;;;;;;;;;;;
20;7;;;;industrial machinery;;;;;;;;;;;;;;
21;7;;;;appliances - packaging - other;;;;;;;;;;;;;;
22;7;;;;reserved;;;;;;;;;;;;;;
23;7;;;;reserved;;;;;;;;;;;;;;
24;7;;;;reserved;;;;;;;;;;;;;;
25;7;;;;reserved;;;;;;;;;;;;;;
26;7;;;;reserved;;;;;;;;;;;;;;
27;7;;;;reserved;;;;;;;;;;;;;;
28;7;;;;reserved;;;;;;;;;;;;;;
29;7;;;;reserved;;;;;;;;;;;;;;
30;7;;;;reserved;;;;;;;;;;;;;;
31;7;;;;reserved;;;;;;;;;;;;;;
32;7;;;;reserved;;;;;;;;;;;;;;
33;7;;;;reserved;;;;;;;;;;;;;;
34;7;;;;reserved;;;;;;;;;;;;;;
35;7;;;;reserved;;;;;;;;;;;;;;
36;7;;;;reserved;;;;;;;;;;;;;;
37;7;;;;reserved;;;;;;;;;;;;;;
38;7;;;;reserved;;;;;;;;;;;;;;
39;7;;;;reserved;;;;;;;;;;;;;;
40;7;;;;reserved;;;;;;;;;;;;;;
41;7;;;;reserved;;;;;;;;;;;;;;
42;7;;;;reserved;;;;;;;;;;;;;;
43;7;;;;reserved;;;;;;;;;;;;;;
44;7;;;;reserved;;;;;;;;;;;;;;
45;7;;;;reserved;;;;;;;;;;;;;;
46;7;;;;reserved;;;;;;;;;;;;;;
47;7;;;;reserved;;;;;;;;;;;;;;
48;7;;;;reserved;;;;;;;;;;;;;;
49;7;;;;reserved;;;;;;;;;;;;;;
50;7;;;;reserved;;;;;;;;;;;;;;
51;7;;;;reserved;;;;;;;;;;;;;;
52;7;;;;reserved;;;;;;;;;;;;;;
53;7;;;;reserved;;;;;;;;;;;;;;
54;7;;;;reserved;;;;;;;;;;;;;;
55;7;;;;reserved;;;;;;;;;;;;;;
56;7;;;;reserved;;;;;;;;;;;;;;
57;7;;;;reserved;;;;;;;;;;;;;;
58;7;;;;reserved;;;;;;;;;;;;;;
59;7;;;;reserved;;;;;;;;;;;;;;
60;7;;;;reserved;;;;;;;;;;;;;;
61;7;;;;reserved;;;;;;;;;;;;;;
62;7;;;;reserved;;;;;;;;;;;;;;
63;7;;;;reserved;;;;;;;;;;;;;;
64;7;;;;reserved;;;;;;;;;;;;;;
65;7;;;;reserved;;;;;;;;;;;;;;
66;7;;;;reserved;;;;;;;;;;;;;;
67;7;;;;reserved;;;;;;;;;;;;;;
68;7;;;;reserved;;;;;;;;;;;;;;
69;7;;;;reserved;;;;;;;;;;;;;;
70;7;;;;reserved;;;;;;;;;;;;;;
71;7;;;;reserved;;;;;;;;;;;;;;
72;7;;;;reserved;;;;;;;;;;;;;;
73;7;;;;reserved;;;;;;;;;;;;;;
74;7;;;;reserved;;;;;;;;;;;;;;
75;7;;;;reserved;;;;;;;;;;;;;;
76;7;;;;reserved;;;;;;;;;;;;;;
77;7;;;;reserved;;;;;;;;;;;;;;
78;7;;;;reserved;;;;;;;;;;;;;;
79;7;;;;reserved;;;;;;;;;;;;;;
80;7;;;;reserved;;;;;;;;;;;;;;
81;7;;;;reserved;;;;;;;;;;;;;;
82;7;;;;reserved;;;;;;;;;;;;;;
83;7;;;;reserved;;;;;;;;;;;;;;
84;7;;;;reserved;;;;;;;;;;;;;;
85;7;;;;reserved;;;;;;;;;;;;;;
86;7;;;;reserved;;;;;;;;;;;;;;
87;7;;;;reserved;;;;;;;;;;;;;;
88;7;;;;reserved;;;;;;;;;;;;;;
89;7;;;;reserved;;;;;;;;;;;;;;
90;7;;;;reserved;;;;;;;;;;;;;;
91;7;;;;reserved;;;;;;;;;;;;;;
92;7;;;;reserved;;;;;;;;;;;;;;
93;7;;;;reserved;;;;;;;;;;;;;;
94;7;;;;reserved;;;;;;;;;;;;;;
95;7;;;;reserved;;;;;;;;;;;;;;
96;7;;;;reserved;;;;;;;;;;;;;;
97;7;;;;reserved;;;;;;;;;;;;;;
98;7;;;;reserved;;;;;;;;;;;;;;
99;7;;;;reserved;;;;;;;;;;;;;;
100;7;;;;reserved;;;;;;;;;;;;;;
101;7;;;;reserved;;;;;;;;;;;;;;
102;7;;;;reserved;;;;;;;;;;;;;;
103;7;;;;reserved;;;;;;;;;;;;;;
104;7;;;;reserved;;;;;;;;;;;;;;
105;7;;;;reserved;;;;;;;;;;;;;;
106;7;;;;reserved;;;;;;;;;;;;;;
107;7;;;;reserved;;;;;;;;;;;;;;
108;7;;;;reserved;;;;;;;;;;;;;;
109;7;;;;reserved;;;;;;;;;;;;;;
110;7;;;;reserved;;;;;;;;;;;;;;
111;7;;;;reserved;;;;;;;;;;;;;;
112;7;;;;reserved;;;;;;;;;;;;;;
113;7;;;;reserved;;;;;;;;;;;;;;
114;7;;;;reserved;;;;;;;;;;;;;;
115;7;;;;reserved;;;;;;;;;;;;;;
116;7;;;;reserved;;;;;;;;;;;;;;
117;7;;;;reserved;;;;;;;;;;;;;;
118;7;;;;reserved;;;;;;;;;;;;;;
119;7;;;;reserved;;;;;;;;;;;;;;
120;7;;;;reserved;;;;;;;;;;;;;;
121;7;;;;reserved;;;;;;;;;;;;;;
122;7;;;;reserved;;;;;;;;;;;;;;
123;7;;;;reserved;;;;;;;;;;;;;;
124;7;;;;reserved;;;;;;;;;;;;;;
125;7;;;;reserved;;;;;;;;;;;;;;
126;7;;;;reserved;;;;;;;;;;;;;;
127;7;;;;reserved;;;;;;;;;;;;;;
128;7;;;;reserved;;;;;;;;;;;;;;
129;7;;;;reserved;;;;;;;;;;;;;;
130;7;;;;reserved;;;;;;;;;;;;;;
131;7;;;;reserved;;;;;;;;;;;;;;
132;7;;;;reserved;;;;;;;;;;;;;;
133;7;;;;reserved;;;;;;;;;;;;;;
134;7;;;;reserved;;;;;;;;;;;;;;
135;7;;;;reserved;;;;;;;;;;;;;;
