id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;4;;;;all materials;;;;;;;;;;;;;;
2;4;;;;fossil fuels;;;;;;;;;;;;;;
3;4;;;;biomass;;;;;;;;;;;;;;
4;4;;;;metals;;;;;;;;;;;;;;
5;4;;;;construction materials;;;;;;;;;;;;;;
6;4;;;;waste rock;;;;;;;;;;;;;;
7;4;;;;industrial minerals;;;;;;;;;;;;;;
8;4;;;;cement;;;;;;;;;;;;;;
9;4;;;;concrete;;;;;;;;;;;;;;
10;4;;;;steel;;;;;;;;;;;;;;
11;4;;;;cast iron;;;;;;;;;;;;;;
12;4;;;;aluminium;;;;;;;;;;;;;;
13;4;;;;copper;;;;;;;;;;;;;;
14;4;;;;brass;;;;;;;;;;;;;;
15;4;;;;bronze;;;;;;;;;;;;;;
16;4;;;;wood;;;;;;;;;;;;;;
17;4;;;;glass;;;;;;;;;;;;;;
18;4;;;;plastics;;;;;;;;;;;;;;
19;4;;;;paper;;;;;;;;;;;;;;
20;4;;;;cardboard;;;;;;;;;;;;;;
21;4;;;;asphalt;;;;;;;;;;;;;;
22;4;;;;pig iron;;;;;;;;;;;;;;
23;4;;;;crude steel;;;;;;;;;;;;;;
24;4;;;;iron and steel castings;;;;;;;;;;;;;;
25;4;;;;semi-finished steel products;;;;;;;;;;;;;;
26;4;;;;finished steel products;;;;;;;;;;;;;;
27;4;;;;stone;;;;;;;;;;;;;;
28;4;;;;sand;;;;;;;;;;;;;;
29;4;;;;clay brick;;;;;;;;;;;;;;
30;4;;;;ceramic tile;;;;;;;;;;;;;;
31;4;;;;gypsum;;;;;;;;;;;;;;
32;4;;;;concrete brick;;;;;;;;;;;;;;
33;4;;;;paint;;;;;;;;;;;;;;
34;4;;;;clay roof;;;;;;;;;;;;;;
35;4;;;;concrete roof;;;;;;;;;;;;;;
36;4;;;;asbestos roof;;;;;;;;;;;;;;
37;4;;;;zinc roof;;;;;;;;;;;;;;
38;4;;;;municipal solid waste (MSW);;;;;;;;;;;;;;
39;4;;;;steel scrap;;;;;;;;;;;;;;
40;4;;;;aluminium scrap;;;;;;;;;;;;;;
41;4;;;;copper scrap;;;;;;;;;;;;;;
42;4;;;;waste paper;;;;;;;;;;;;;;
43;4;;;;waste cardboard;;;;;;;;;;;;;;
44;4;;;;hazardous waste;;;;;;;;;;;;;;
45;4;;;;food waste;;;;;;;;;;;;;;
46;4;;;;waste glass;;;;;;;;;;;;;;
47;4;;;;waste concrete;;;;;;;;;;;;;;
48;4;;;;waste plastic;;;;;;;;;;;;;;
49;4;;;;wood waste;;;;;;;;;;;;;;
50;4;;;;slag;;;;;;;;;;;;;;
51;4;;;;prompt (home) scrap;;;;;;;;;;;;;;
52;4;;;;fabrication (new) scrap;;;;;;;;;;;;;;
53;4;;;;postconsumer (EoL) scrap;;;;;;;;;;;;;;
54;4;;;;EoL products;;;;;;;;;;;;;;
55;4;;;;obsolete and hibernating EoL products;;;;;;;;;;;;;;
56;4;;;;waste for landfilling;;;;;;;;;;;;;;
57;4;;;;radioactive waste;;;;;;;;;;;;;;
58;4;;;;plaster, screed, mortar ;;;;;;;;;;;;;;
59;4;;;;masonry;;;;;;;;;;;;;;
60;4;;;;building boards;;;;;;;;;;;;;;
61;4;;;;insulation materials;;;;;;;;;;;;;;
62;4;;;;roof covering;;;;;;;;;;;;;;
63;4;;;;floorings, damp-proofing;;;;;;;;;;;;;;
64;4;;;;other materials, fills;;;;;;;;;;;;;;
65;4;;;;iron/steel;;;;;;;;;;;;;;
66;4;;;;particle board;;;;;;;;;;;;;;
67;4;;;;plywood;;;;;;;;;;;;;;
68;4;;;;insulation;;;;;;;;;;;;;;
69;4;;;;plasterboard;;;;;;;;;;;;;;
70;4;;;;crushed stone;;;;;;;;;;;;;;
71;4;;;;mortar;;;;;;;;;;;;;;
72;4;;;;blocks;;;;;;;;;;;;;;
73;4;;;;putty/fillers;;;;;;;;;;;;;;
74;4;;;;white goods;;;;;;;;;;;;;;
75;4;;;;porcelain;;;;;;;;;;;;;;
76;4;;;;copper/zinc;;;;;;;;;;;;;;
77;4;;;;rubber;;;;;;;;;;;;;;
78;4;;;;glulam;;;;;;;;;;;;;;
79;4;;;;ceramics;;;;;;;;;;;;;;
80;4;;;;rock wool;;;;;;;;;;;;;;
81;4;;;;macadam;;;;;;;;;;;;;;
82;4;;;;appliances;;;;;;;;;;;;;;
83;4;;;;concrete, bricks, and tiles;;;;;;;;;;;;;;
