id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;28;;Gini coefficient, SI.POV.GINI;World Bank Statistics;Gini index (SI.POV.GINI);;;;;;;;;;;;;;
2;28;;;;reserved_1;;;;;;;;;;;;;;
3;28;;;;reserved_2;;;;;;;;;;;;;;
4;28;;;;reserved_3;;;;;;;;;;;;;;
5;28;;;;reserved_4;;;;;;;;;;;;;;
6;28;;;;reserved_5;;;;;;;;;;;;;;
7;28;;;;reserved_6;;;;;;;;;;;;;;
8;28;;;;reserved_7;;;;;;;;;;;;;;
9;28;;;;reserved_8;;;;;;;;;;;;;;
10;28;;;;reserved_9;;;;;;;;;;;;;;
11;28;;;;reserved_10;;;;;;;;;;;;;;
12;28;;;;reserved_11;;;;;;;;;;;;;;
13;28;;;;reserved_12;;;;;;;;;;;;;;
14;28;;;;reserved_13;;;;;;;;;;;;;;
15;28;;;;reserved_14;;;;;;;;;;;;;;
16;28;;;;reserved_15;;;;;;;;;;;;;;
17;28;;;;reserved_16;;;;;;;;;;;;;;
18;28;;;;reserved_17;;;;;;;;;;;;;;
19;28;;;;reserved_18;;;;;;;;;;;;;;
20;28;;;;reserved_19;;;;;;;;;;;;;;
21;28;;;;reserved_20;;;;;;;;;;;;;;
22;28;;;;reserved_21;;;;;;;;;;;;;;
23;28;;;;reserved_22;;;;;;;;;;;;;;
24;28;;;;reserved_23;;;;;;;;;;;;;;
25;28;;;;reserved_24;;;;;;;;;;;;;;
26;28;;;;reserved_25;;;;;;;;;;;;;;
27;28;;;;reserved_26;;;;;;;;;;;;;;
28;28;;;;reserved_27;;;;;;;;;;;;;;
29;28;;;;reserved_28;;;;;;;;;;;;;;
30;28;;;;reserved_29;;;;;;;;;;;;;;
31;28;;;;reserved_30;;;;;;;;;;;;;;
32;28;;;;reserved_31;;;;;;;;;;;;;;
33;28;;;;reserved_32;;;;;;;;;;;;;;
34;28;;;;reserved_33;;;;;;;;;;;;;;
35;28;;;;reserved_34;;;;;;;;;;;;;;
36;28;;;;reserved_35;;;;;;;;;;;;;;
37;28;;;;reserved_36;;;;;;;;;;;;;;
38;28;;;;reserved_37;;;;;;;;;;;;;;
39;28;;;;reserved_38;;;;;;;;;;;;;;
40;28;;;;reserved_39;;;;;;;;;;;;;;
41;28;;;;reserved_40;;;;;;;;;;;;;;
42;28;;;;reserved_41;;;;;;;;;;;;;;
43;28;;;;reserved_42;;;;;;;;;;;;;;
44;28;;;;reserved_43;;;;;;;;;;;;;;
45;28;;;;reserved_44;;;;;;;;;;;;;;
46;28;;;;reserved_45;;;;;;;;;;;;;;
47;28;;;;reserved_46;;;;;;;;;;;;;;
48;28;;;;reserved_47;;;;;;;;;;;;;;
49;28;;;;reserved_48;;;;;;;;;;;;;;
50;28;;;;reserved_49;;;;;;;;;;;;;;
51;28;;;;reserved_50;;;;;;;;;;;;;;
