id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;xxx;;;;Use phase;;;;;;;;;;;;;;
2;xxx;;;;Fabrication;;;;;;;;;;;;;;
3;xxx;;;;Forming;;;;;;;;;;;;;;
4;xxx;;;;BOF;;;;;;;;;;;;;;
5;xxx;;;;Scrap-only EAF;;;;;;;;;;;;;;
6;xxx;;;;DRI-fed EAF;;;;;;;;;;;;;;
7;xxx;;;;Pig iron cross section;;;;;;;;;;;;;;
8;xxx;;;;Scrap market;;;;;;;;;;;;;;
9;xxx;;;;Blast furnace;;;;;;;;;;;;;;
10;xxx;;;;Direct reduction;;;;;;;;;;;;;;
11;xxx;;;;Beneficiation;;;;;;;;;;;;;;
12;xxx;;;;Iron ore mining;;;;;;;;;;;;;;
13;xxx;;;;Obsolete stocks;;;;;;;;;;;;;;
14;xxx;;;;Waste management;;;;;;;;;;;;;;
15;xxx;;;;Tailings;;;;;;;;;;;;;;
16;xxx;;;;Slag and scaling losses;;;;;;;;;;;;;;
17;xxx;;;;Landfills;;;;;;;;;;;;;;
18;xxx;;;;Scrap diversion;;;;;;;;;;;;;;
19;xxx;;;;Sintering;;;;;;;;;;;;;;
20;xxx;;;;Smelt reduction;;;;;;;;;;;;;;
21;xxx;;;;Electrolysis;;;;;;;;;;;;;;
22;xxx;;;;Scrap preparation;;;;;;;;;;;;;;
23;xxx;;;;Liquid steel cross section;;;;;;;;;;;;;;
