id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;xxx;;;;North America (USA and Canada);;;;;;;;;;;;;;
2;xxx;;;;Latin America (the entire Americas without the US and Canada);;;;;;;;;;;;;;
3;xxx;;;;Western Europe (all European countries which have not been part of the former Soviet Union, not Turkey and Cyprus);;;;;;;;;;;;;;
4;xxx;;;;Commonwealth of Independent States (CIS) and other states that were part of the Soviet Union;;;;;;;;;;;;;;
5;xxx;;;;Africa;;;;;;;;;;;;;;
6;xxx;;;;Middle East, including Turkey and Cyprus;;;;;;;;;;;;;;
7;xxx;;;;India;;;;;;;;;;;;;;
8;xxx;;;;China;;;;;;;;;;;;;;
9;xxx;;;;Developed Asia and Oceania: Japan, South Korea, Australia, New Zealand;;;;;;;;;;;;;;
10;xxx;;;;Developing Asia and Oceania;;;;;;;;;;;;;;
11;xxx;;;;Global;;;;;;;;;;;;;;
