id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;16;;;;Pig iron production;1;;;;;;[(85,85,85)];[0];[40.00];[60.00];[28];[141];;
2;16;;;;Pig iron market;2;;;;;;[(155,155,155)];[0];[8.00];[60.00];[151];[141];;
3;16;;;;Crude steel production;3;;;;;;[(85,85,85)];[0];[40.00];[60.00];[253];[194];;
4;16;;;;Market for crude steel;4;;;;;;[(155,155,155)];[0];[8.00];[60.00];[387];[194];;
5;16;;;;Steel forming;5;;;;;;[(85,85,85)];[0];[40.00];[60.00];[454];[194];;
6;16;;;;Finished steel market;6;;;;;;[(155,155,155)];[0];[8.00];[60.00];[566];[194];;
7;16;;;;Steel products market;7;;;;;;[(155,155,155)];[0];[8.00];[60.00];[757];[194];;
8;16;;;;Sector split;8;;;;;;[(155,155,155)];[0];[8.00];[60.00];[810];[194];;
9;16;;;;Fabrication/manuf.;9;;;;;;[(85,85,85)];[0];[40.00];[60.00];[852];[194];;
10;16;;;;Trade of finl prds parts;10;;;;;;[(155,155,155)];[0];[8.00];[60.00];[959];[194];;
11;16;;;;Trade of final products;11;;;;;;[(155,155,155)];[0];[8.00];[60.00];[1065];[194];;
12;16;;;;Use phase;12;;;;;;[(35,35,35)];[0];[60.00];[60.00];[1111];[194];;
13;16;;;;End-of-life products trade;13;;;;;;[(155,155,155)];[0];[8.00];[60.00];[1264];[194];;
14;16;;;;Waste management industries;14;;;;;;[(85,85,85)];[90];[40.00];[60.00];[1297];[286];;
15;16;;;;Scrap market;15;;;;;;[(155,155,155)];[180];[8.00];[60.00];[280];[504];;
16;16;;;;Foundries;16;;;;;;[(85,85,85)];[0];[40.00];[60.00];[253];[109];;
17;16;;;;Cast iron market;17;;;;;;[(155,155,155)];[0];[8.00];[60.00];[566];[113];;
18;16;;;;Slag piles;18;;;;;;[(85,85,85)];[90];[40.00];[60.00];[534];[393];;
19;16;;;;Hibernating and obsolete stocks;19;;;;;;[(85,85,85)];[0];[40.00];[60.00];[1336];[194];;
20;16;;;;Landfills;20;;;;;;[(85,85,85)];[90];[40.00];[60.00];[1336];[441];;
21;16;;;;Pig iron import;21;;;;;;[(255,255,255)];[90];[8.00];[60.00];[127];[40];;
22;16;;;;Crude steel import;22;;;;;;[(255,255,255)];[90];[8.00];[60.00];[345];[40];;
23;16;;;;Casting import;23;;;;;;[(255,255,255)];[90];[8.00];[60.00];[548];[40];;
24;16;;;;Finished steel import;24;;;;;;[(255,255,255)];[90];[8.00];[60.00];[509];[40];;
25;16;;;;Steel products import;25;;;;;;[(255,255,255)];[90];[8.00];[60.00];[714];[40];;
26;16;;;;Finished parts import;26;;;;;;[(255,255,255)];[90];[8.00];[60.00];[927];[40];;
