id;classification_id;parent_id;description;reference;attribute1_oto;attribute2_oto;attribute3_oto;attribute4_oto;attribute5_anc;attribute6_anc;attribute7_anc;attribute8_anc;attribute9_anc;attribute10_anc;attribute11_anc;attribute12_anc;attribute13_anc;attribute14_anc;attribute15_anc
1;14;;;;before 1919;;;;;;;;;;;;;;
2;14;;;;1919-1948;;;;;;;;;;;;;;
3;14;;;;1949-1978;;;;;;;;;;;;;;
4;14;;;;1979-1990;;;;;;;;;;;;;;
5;14;;;;1991-2010;;;;;;;;;;;;;;
6;14;;;;before 1901;;;;;;;;;;;;;;
7;14;;;;1901-1920;;;;;;;;;;;;;;
8;14;;;;1921-1940;;;;;;;;;;;;;;
9;14;;;;1941-1945;;;;;;;;;;;;;;
10;14;;;;1946-1960;;;;;;;;;;;;;;
11;14;;;;1961-1970;;;;;;;;;;;;;;
12;14;;;;1971-1980;;;;;;;;;;;;;;
13;14;;;;1981-1990;;;;;;;;;;;;;;
14;14;;;;1991-2001;;;;;;;;;;;;;;
15;14;;;;1997;;;;;;;;;;;;;;
16;14;;;;1900-2010;;;;;;;;;;;;;;
17;14;;;;1700-2008;;;;;;;;;;;;;;
18;14;;;;1970-2050;;;;;;;;;;;;;;
19;14;;;;2000-2003;;;;;;;;;;;;;;
20;14;;;;2000-2010;;;;;;;;;;;;;;
21;14;;;;2010-2015;;;;;;;;;;;;;;
22;14;;;;1993-2002;;;;;;;;;;;;;;
23;14;;;;2002-2003;;;;;;;;;;;;;;
24;14;;;;2003;;;;;;;;;;;;;;
25;14;;;;1992-2002;;;;;;;;;;;;;;
26;14;;;;1999-2003;;;;;;;;;;;;;;
27;14;;;;ca. 2000;;;;;;;;;;;;;;
28;14;;;;ca. 2001;;;;;;;;;;;;;;
29;14;;;;ca. 2002;;;;;;;;;;;;;;
30;14;;;;ca. 2003;;;;;;;;;;;;;;
31;14;;;;ca. 2004;;;;;;;;;;;;;;
32;14;;;;ca. 2005;;;;;;;;;;;;;;
33;14;;;;ca. 2006;;;;;;;;;;;;;;
34;14;;;;ca. 2007;;;;;;;;;;;;;;
