id;refunit_id;unitcode;alt_unitcode;alt_unitcode2;unit_name;alt_unit_name;alt_unit_name2;factor
1;1;1;p;#;one;unity;piece;1
2;2;kg;;;kilogram;;;1
3;3;s;;;second;;;1
4;4;J;;;Joule;;;1
5;5;m3;;;cubic meter;;;1
6;6;m2;;;square meter;;;1
7;7;W;;;Watt;;;1
8;8;US$2005;;;US dollar of 2005;;;1
9;9;m;;;meter;;;1
10;10;person;;;person;;;1
11;11;pkm;;;person-kilometer;;;1
12;12;tkm;;;ton-km;;;1
13;13;Bq;;;Bequerel;;;1
14;14;reserved;;;reserved;;;1
15;15;reserved;;;reserved;;;1
16;16;reserved;;;reserved;;;1
17;17;reserved;;;reserved;;;1
18;18;reserved;;;reserved;;;1
19;19;reserved;;;reserved;;;1
20;20;reserved;;;reserved;;;1
21;21;reserved;;;reserved;;;1
22;22;reserved;;;reserved;;;1
23;23;reserved;;;reserved;;;1
24;24;reserved;;;reserved;;;1
25;25;reserved;;;reserved;;;1
26;26;reserved;;;reserved;;;1
27;27;reserved;;;reserved;;;1
28;28;reserved;;;reserved;;;1
29;29;reserved;;;reserved;;;1
30;30;reserved;;;reserved;;;1
31;1;%;;;percent;;;0.01
32;1;k;;;thousand;;;1000
33;1;M;;;million;;;1000000
34;1;bn;;;billion;;;1000000000
35;3;ps;;;picosecond;;;1.00E-12
36;3;ns;;;nanosecond;;;1.00E-09
37;3;µs;;;microsecond;;;1.00E-06
38;3;ms;;;millisecond;;;0.001
39;3;min;;;minute;;;60
40;3;h;;;hour;;;3600
41;3;d;;;day;;;86400
42;3;w;;;week;;;604800
43;3;mon;;;month;;;2629744
44;3;yr;a;;year;annum;;31556928
45;2;Pg;;;petagram;gigaton;;1.00E+12
46;2;Tg;Mt;;teragram;megaton;;1.00E+09
47;2;Gg;kt;;Gigagram;kiloton;;1000000
48;2;t;;;ton;Megagram;;1000
49;2;Mg;;;Megagram;ton;;1000
50;2;g;;;gram;;;0.001
51;2;mg;;;milligram;;;1.00E-06
52;2;µg;;;microgram;;;1.00E-09
53;2;ng;;;nanogram;;;1.00E-12
54;2;pg;;;picogram;;;1.00E-15
55;4;TJ;;;Terajoule;;;1E+12
56;4;GJ;;;Gigajoule;;;1000000000
57;4;MJ;;;Megajoule;;;1000000
58;4;kJ;;;kilojoule;;;1000
59;4;mJ;;;millijoule;;;0.001
60;4;µJ;;;microjoule;;;1.00E-06
61;4;nJ;;;nanojoule;;;1.00E-09
62;4;pJ;;;picojoule;;;1.00E-12
63;4;Ws;;;Wattsecond;;;1
64;4;TWs;;;Terawattsecond;;;1E+12
65;4;GWs;;;Gigawattsecond;;;1000000000
66;4;MWs;;;Megawattsecond;;;1000000
67;4;kWs;;;kilowattsecond;;;1000
68;4;mWs;;;milliwattsecond;;;0.001
69;4;µWs;;;microwattsecond;;;1.00E-06
70;4;nWs;;;nanowattsecond;;;1.00E-09
71;4;pWs;;;picowattsecond;;;1.00E-12
72;5;cm3;;;cubic centimeter;;;1.00E-06
73;4;kWh;;;kilowatthour;;;3.60E+06
74;4;MWh;;;megawatthour;;;3.60E+09
75;4;GWh;;;gigawatthour;;;3.60E+12
76;4;TWh;;;terawatthour;;;3.60E+15
77;7;kW;;;kilowatt;;;1000
78;7;MW;;;megawatt;;;1.00E+06
79;7;GW;;;gigawatt;;;1.00E+09
80;7;TW;;;terawatt;;;1.00E+12
81;7;PW;;;petawatt;;;1.00E+15
82;9;km;;;kilometer;;;1000
85;13;kBq;;;kilobequerel;;;1000
87;1;promille;;;promille;;;0.001
88;5;l;;;litre;;;0.001
89;8;BYen;;;Billion Yen;;;
90;8;million GBP_2010;;;million British Pounds_2010;;;




